fact_purchased_orders_link_to_ops,fact_purchased_orders_exposed_order_id,fact_purchased_orders_order_id,dim_users_link_to_ops,dim_users_user_id,fact_purchased_orders_purchased_date,dim_users_created_date,fact_purchased_items_total_base_revenue_excluding_refund,fact_purchased_items_total_estimated_cost
https://ops.curated.com/orders/AgAAACkAtycR2BITRf6Bm4DLPmkfOw,03778-88008,urn:order:b72711d8-1213-45fe-819b-80cb3e691f3b,https://ops.curated.com/consumers/AgAAAAEAF0dLAh0YR4O5ZBQtV40UMA,urn:user:17474b02-1d18-4783-b964-142d578d1430,2022-12-14,2022-12-14,170,144.5
https://ops.curated.com/orders/AgAAACkA6ON0QJZnSPmWOIfEVrOh5w,37935-91371,urn:order:e8e37440-9667-48f9-9638-87c456b3a1e7,https://ops.curated.com/consumers/AgAAAAEAISqNQwn-TD2xpjM8ayjZbQ,urn:user:212a8d43-09fe-4c3d-b1a6-333c6b28d96d,2022-12-08,2022-12-04,170,124
https://ops.curated.com/orders/AgAAACkADXIXAeutShWNHRjdeNp9Yw,44384-69372,urn:order:0d721701-ebad-4a15-8d1d-18dd78da7d63,https://ops.curated.com/consumers/AgAAAAEAlZiDS1vfS5q9ObpGv_PYpg,urn:user:9598834b-5bdf-4b9a-bd39-ba46bff3d8a6,2022-11-28,2022-11-28,170,141.1
https://ops.curated.com/orders/AgAAACkAOf5Rla0mSsWgP9O28VwNQw,34095-28834,urn:order:39fe5195-ad26-4ac5-a03f-d3b6f15c0d43,https://ops.curated.com/consumers/AgAAAAEACt7k_TxbQia-r3BuRraSuA,urn:user:0adee4fd-3c5b-4226-beaf-706e46b692b8,2022-12-27,2022-11-13,170,144.5
https://ops.curated.com/orders/AgAAACkAg2H5pM4pS8CWRp7WesDo6Q,13066-40850,urn:order:8361f9a4-ce29-4bc0-9646-9ed67ac0e8e9,https://ops.curated.com/consumers/AgAAAAEAI-XRJUxhTfafYH8NYRx0WQ,urn:user:23e5d125-4c61-4df6-9f60-7f0d611c7459,2022-12-14,2022-12-14,170,85
https://ops.curated.com/orders/AgAAACkAdjZYUpiySc6RzEr7IrGq9Q,58170-50210,urn:order:76365852-98b2-49ce-91cc-4afb22b1aaf5,https://ops.curated.com/consumers/AgAAAAEAGxkL1zgOT0aEEEjDnkm8sQ,urn:user:1b190bd7-380e-4f46-8410-48c39e49bcb1,2022-11-28,2022-10-24,170,97.5
https://ops.curated.com/orders/AgAAACkAVuG3OAMfQMOIHRGk-DWnEg,23842-04181,urn:order:56e1b738-031f-40c3-881d-11a4f835a712,https://ops.curated.com/consumers/AgAAAAEAAiKzgt02SXeaBs0CNLgZSw,urn:user:0222b382-dd36-4977-9a06-cd0234b8194b,2022-12-17,2022-11-15,170,87.72
https://ops.curated.com/orders/AgAAACkAcevNWq2hT4ip_qN7rbWSmg,82642-71649,urn:order:71ebcd5a-ada1-4f88-a9fe-a37badb5929a,https://ops.curated.com/consumers/AgAAAAEAQPedxloxRJib_HJzz6hbUA,urn:user:40f79dc6-5a31-4498-9bfc-7273cfa85b50,2022-12-28,2020-12-15,170,144.5
https://ops.curated.com/orders/AgAAACkA_ckMHY_mQs6BjMFzMuBCHQ,40485-39495,urn:order:fdc90c1d-8fe6-42ce-818c-c17332e0421d,https://ops.curated.com/consumers/AgAAAAEA-cWcSVUPQWyN0ikFtEw1Zg,urn:user:f9c59c49-550f-416c-8dd2-2905b44c3566,2022-12-12,2022-12-12,170,85
https://ops.curated.com/orders/AgAAACkAiurMIN84Rn-xmT4BLBVoQQ,40661-06287,urn:order:8aeacc20-df38-467f-b199-3e012c156841,https://ops.curated.com/consumers/AgAAAAEA38Z5G_joRFW8nimGmd4y0Q,urn:user:dfc6791b-f8e8-4455-bc9e-298699de32d1,2022-12-13,2022-11-03,169.99,144.49
https://ops.curated.com/orders/AgAAACkAjapZuDfpRTyK0ptfKt-JtA,39490-45288,urn:order:8daa59b8-37e9-453c-8ad2-9b5f2adf89b4,https://ops.curated.com/consumers/AgAAAAEAUEHYIoxQTlGjqnMkhtI5Zw,urn:user:5041d822-8c50-4e51-a3aa-732486d23967,2022-12-16,2022-12-16,169.99,101.99
https://ops.curated.com/orders/AgAAACkACPkhhGGmTDC0WybKmce5fg,30327-08012,urn:order:08f92184-61a6-4c30-b45b-26ca99c7b97e,https://ops.curated.com/consumers/AgAAAAEAvUhWqNgOTByDFbNLqRluvw,urn:user:bd4856a8-d80e-4c1c-8315-b34ba9196ebf,2022-12-07,2019-01-02,169.99,169.99
https://ops.curated.com/orders/AgAAACkAkUPKKSp9T4WL7JotAaUxHQ,48316-77711,urn:order:9143ca29-2a7d-4f85-8bec-9a2d01a5311d,https://ops.curated.com/consumers/AgAAAAEAL53TybW9Q9iNpK95PcuZ3g,urn:user:2f9dd3c9-b5bd-43d8-8da4-af793dcb99de,2022-12-14,2022-12-04,169.99,90.99
https://ops.curated.com/orders/AgAAACkAvyUMaeCFQwa60b1SDr2pCg,48876-99955,urn:order:bf250c69-e085-4306-bad1-bd520ebda90a,https://ops.curated.com/consumers/AgAAAAEA5dubVn4_Syiy1a8K_zFfBA,urn:user:e5db9b56-7e3f-4b28-b2d5-af0aff315f04,2022-12-24,2022-12-24,169.99,144.49
https://ops.curated.com/orders/AgAAACkAAGWmlwM3SIe0fhpsvsHozA,93841-09140,urn:order:0065a697-0337-4887-b47e-1a6cbec1e8cc,https://ops.curated.com/consumers/AgAAAAEA7oDtpNw7Q0GkC4VIOl4Leg,urn:user:ee80eda4-dc3b-4341-a40b-85483a5e0b7a,2022-12-06,2022-12-05,169.99,134.15
https://ops.curated.com/orders/AgAAACkAXcOaDOZWRea1c_pZ_KRTFw,35901-27824,urn:order:5dc39a0c-e656-45e6-b573-fa59fca45317,https://ops.curated.com/consumers/AgAAAAEABYMHV6i_RMmDPUAjxzd9pA,urn:user:05830757-a8bf-44c9-833d-4023c7377da4,2022-11-30,2021-09-30,169.99,144.49
https://ops.curated.com/orders/AgAAACkAGVIDTfANQneU8qokhHNMPQ,73809-56460,urn:order:1952034d-f00d-4277-94f2-aa2484734c3d,https://ops.curated.com/consumers/AgAAAAEAbO-1RVqmQqS7VgUVAEHLQw,urn:user:6cefb545-5aa6-42a4-bb56-05150041cb43,2022-12-01,2022-11-30,169.99,91.8
https://ops.curated.com/orders/AgAAACkA1GHXgJCvQ-WYKZXRTzRqKA,82723-13383,urn:order:d461d780-90af-43e5-9829-95d14f346a28,https://ops.curated.com/consumers/AgAAAAEAS3WLvjxBTICs2iOq-wTO2g,urn:user:4b758bbe-3c41-4c80-acda-23aafb04ceda,2022-11-30,2022-11-25,169.99,91.8
https://ops.curated.com/orders/AgAAACkAeU-SewWWShOZgeXcOYUiog,58093-42407,urn:order:794f927b-0596-4a13-9981-e5dc398522a2,https://ops.curated.com/consumers/AgAAAAEA4Sfo0-wLRWm1FV5lPfYtBA,urn:user:e127e8d3-ec0b-4569-b515-5e653df62d04,2022-11-28,2022-02-14,169.99,51
https://ops.curated.com/orders/AgAAACkAzm1fK8MbTDiKT2y_lb3FUQ,04988-97943,urn:order:ce6d5f2b-c31b-4c38-8a4f-6cbf95bdc551,https://ops.curated.com/consumers/AgAAAAEAxxlglHcBRqC1kjc6S7OhVg,urn:user:c7196094-7701-46a0-b592-373a4bb3a156,2022-11-28,2022-11-28,169.99,144.49
https://ops.curated.com/orders/AgAAACkAVPRq9hnjT6CIZqZXhXzlyQ,72224-95232,urn:order:54f46af6-19e3-4fa0-8866-a657857ce5c9,https://ops.curated.com/consumers/AgAAAAEAKxIvg5zrQc6888rFp-Opvw,urn:user:2b122f83-9ceb-41ce-bcf3-cac5a7e3a9bf,2022-12-23,2022-12-23,169.99,144.49
https://ops.curated.com/orders/AgAAACkAlGxvN-GuQn2w7A7bXd6t4w,58033-08124,urn:order:946c6f37-e1ae-427d-b0ec-0edb5ddeade3,https://ops.curated.com/consumers/AgAAAAEA0uM1wnAmSr2TsqSPZqB9Bg,urn:user:d2e335c2-7026-4abd-93b2-a48f66a07d06,2022-12-20,2022-12-20,169.99,91.8
https://ops.curated.com/orders/AgAAACkAx-tkmpx2QUWwn0YgALkSRg,30689-13507,urn:order:c7eb649a-9c76-4145-b09f-462000b91246,https://ops.curated.com/consumers/AgAAAAEAz71jVmRKS16kuzGWe-ErRw,urn:user:cfbd6356-644a-4b5e-a4bb-31967be12b47,2022-12-06,2022-12-06,169.99,144.49
https://ops.curated.com/orders/AgAAACkAbbw4ULDURDubCLFlhIBHFw,44598-94629,urn:order:6dbc3850-b0d4-443b-9b08-b16584804717,https://ops.curated.com/consumers/AgAAAAEASu1S5JbyR8GNPonUrucINA,urn:user:4aed52e4-96f2-47c1-8d3e-89d4aee70834,2022-12-09,2022-09-14,169.99,144.49
https://ops.curated.com/orders/AgAAACkAWR2JOkroT9mbOe8CZCfzKQ,40829-72809,urn:order:591d893a-4ae8-4fd9-9b39-ef026427f329,https://ops.curated.com/consumers/AgAAAAEAvLSiQSPpTlC26sKlMnTmcg,urn:user:bcb4a241-23e9-4e50-b6ea-c2a53274e672,2022-12-23,2022-12-23,169.99,144.49
https://ops.curated.com/orders/AgAAACkAKrn15DYiQK6i2agmkh0cMw,97755-37304,urn:order:2ab9f5e4-3622-40ae-a2d9-a826921d1c33,https://ops.curated.com/consumers/AgAAAAEAVNtEv8PURe-FWOovX0h-EQ,urn:user:54db44bf-c3d4-45ef-8558-ea2f5f487e11,2022-12-23,2022-12-23,169.99,144.49
https://ops.curated.com/orders/AgAAACkA7-eTVM4TTkyBa5eMo1bzAA,95731-16371,urn:order:efe79354-ce13-4e4c-816b-978ca356f300,https://ops.curated.com/consumers/AgAAAAEArpmR45oSQRW5f9psJugJ1g,urn:user:ae9991e3-9a12-4115-b97f-da6c26e809d6,2022-12-02,2022-11-22,169.99,73.95
