attributed_at_date,source_group,source,spend_usd
10/11/22,paid,google ads,"$8,747.22 "
10/10/22,paid,bing ads,$118.24 
10/10/22,paid,google ads,"$11,874.95 "
10/10/22,paid,facebook ads,"$1,056.31 "
10/9/22,paid,facebook ads,"$1,056.36 "
10/9/22,paid,bing ads,$123.04 
10/9/22,paid,google ads,"$13,320.18 "
10/8/22,paid,google ads,"$12,045.52 "
10/8/22,paid,bing ads,$105.41 
10/8/22,paid,facebook ads,"$1,110.38 "
10/7/22,paid,facebook ads,$784.84 
10/7/22,paid,bing ads,$112.10 
10/7/22,paid,google ads,"$10,545.31 "
10/6/22,paid,google ads,"$11,119.46 "
10/6/22,paid,bing ads,$91.09 
10/6/22,paid,facebook ads,$751.43 
10/5/22,paid,facebook ads,$780.81 
10/5/22,paid,google ads,"$10,722.35 "
10/5/22,paid,bing ads,$114.08 
10/4/22,paid,google ads,"$8,040.53 "
10/4/22,paid,bing ads,$130.10 
10/4/22,paid,facebook ads,$804.23 
10/3/22,paid,google ads,"$10,675.06 "
10/3/22,paid,bing ads,$107.75 
10/3/22,paid,facebook ads,$880.98 
10/2/22,paid,facebook ads,"$1,044.78 "
10/2/22,paid,bing ads,$176.41 
10/2/22,paid,google ads,"$8,960.60 "
10/1/22,paid,bing ads,$372.67 
10/1/22,paid,google ads,"$7,030.33 "
10/1/22,paid,facebook ads,"$1,076.79 "
9/30/22,paid,google ads,"$6,659.55 "
9/30/22,paid,bing ads,$435.25 
9/30/22,paid,facebook ads,"$1,058.62 "
9/29/22,paid,facebook ads,"$1,069.21 "
9/29/22,paid,bing ads,$321.97 
9/29/22,paid,google ads,"$6,449.07 "
9/28/22,paid,facebook ads,"$1,077.82 "
9/28/22,paid,bing ads,$115.10 
9/28/22,paid,google ads,"$3,983.78 "
9/27/22,paid,bing ads,$58.64 
9/27/22,paid,google ads,"$3,988.40 "
9/27/22,paid,facebook ads,"$1,020.45 "
9/26/22,paid,facebook ads,"$1,038.54 "
9/26/22,paid,bing ads,$54.21 
9/26/22,paid,google ads,"$4,393.22 "
9/25/22,paid,bing ads,$60.79 
9/25/22,paid,google ads,"$5,279.30 "
9/25/22,paid,facebook ads,$876.92 
9/24/22,paid,facebook ads,$951.64 
9/24/22,paid,bing ads,$57.01 
9/24/22,paid,google ads,"$4,673.35 "
9/23/22,paid,google ads,"$4,041.85 "
9/23/22,paid,bing ads,$82.92 
9/23/22,paid,facebook ads,$812.60 
9/22/22,paid,facebook ads,$872.29 
9/22/22,paid,bing ads,$68.91 
9/22/22,paid,google ads,"$4,966.78 "
9/21/22,paid,bing ads,$69.37 
